1,00651R,BORRIS MXD N S,Carlow,CATHOLIC,N,N,N,100,94,194,273199,150324,-6.91956,52.5993
2,00977B,BALLYCONNELL N S,Carlow,CATHOLIC,N,N,N,80,79,159,292481,174367,-6.62828,52.8124
3,01116A,BAILE AN CHUILINN N S,Carlow,CATHOLIC,N,N,N,56,55,111,272463,155784,-6.92923,52.6485
4,01215C,NEWTOWN DUNLECKNEY MXD,Carlow,CATHOLIC,N,N,N,69,61,130,275959,164072,-6.87567,52.7225
5,01415K,RATHOE NS,Carlow,CATHOLIC,N,N,N,92,86,178,281027,171359,-6.79887,52.7872
6,02124E,SCOIL NAIS MOLAISE,Carlow,CATHOLIC,N,N,N,74,66,140,265307,165801,-7.03297,52.7394
7,04077I,SCOIL NAIS BHRIDE,Carlow,CATHOLIC,N,N,N,88,71,159,282120,176948,-6.78127,52.8373
8,09320Q,SCOIL NAIS MHUIRE,Carlow,CATHOLIC,N,N,N,53,47,100,278553,156943,-6.83898,52.6581
9,11135K,ST MARYS N S,Carlow,CHURCH OF IRELAND,N,N,N,39,41,80,270371,161495,-6.95892,52.7001
10,13105L,ST BRIDGETS MONASTERY,Carlow,CATHOLIC,N,N,N,116,1,117,270696,161495,-6.95411,52.7
11,13507I,S N MUIRE LOURDES,Carlow,CATHOLIC,N,N,N,0,217,217,285444,172887,-6.73301,52.8003
12,13607M,ST COLUMBAS N S,Carlow,CHURCH OF IRELAND,N,N,N,30,35,65,285514,173275,-6.73187,52.8037
13,14837L,S N PEADAR AGUS POL,Carlow,CATHOLIC,N,N,N,142,139,281,283204,165930,-6.76798,52.7381
14,16080N,S N PHADRAIG NAOFA,Carlow,CATHOLIC,N,N,N,229,0,229,285520,173189,-6.7318,52.803
15,16938E,FR CULLEN MEMORIAL N S,Carlow,CATHOLIC,N,N,N,81,89,170,274499,172123,-6.89544,52.795
16,17053P,BISHOP FOLEY MEMORIAL SCHOOL,Carlow,CATHOLIC,N,N,N,268,0,268,272512,177195,-6.92377,52.8409
17,17096K,S N NMH FHINGIN,Carlow,CATHOLIC,N,Y,N,21,12,33,277649,159052,-6.85184,52.6771
18,17127S,ST JOSEPHS NS,Carlow,CATHOLIC,N,Y,N,73,73,146,297277,180092,-6.55546,52.863
19,17330P,SCOIL N MOLING-GLYNN,Carlow,CATHOLIC,N,N,N,21,36,57,274201,139477,-6.9072,52.5017
20,17462J,SCOIL NAIS MHICHIL,Carlow,CATHOLIC,N,N,N,26,21,47,274418,144438,-6.9029,52.5463
21,17481N,ST BRENDANS N S,Carlow,CATHOLIC,N,N,N,12,8,20,274710,136225,-6.90043,52.4724
22,17501Q,Bennekerry National School,Carlow,CATHOLIC,N,N,N,200,199,399,276212,176121,-6.86912,52.8307
23,17514C,S N CLUAIN NA GALL,Carlow,CATHOLIC,N,N,N,62,55,117,291401,161388,-6.64791,52.696
24,17663T,ST PATRICKS N S,Carlow,CATHOLIC,N,N,N,96,95,191,288216,181805,-6.68951,52.8799
