1,001 Carlow Urban,Carlow,Southern,30,2.48,8.49,5.75,3236,79.51,80.81,6.19,81.27,2.93
2,002 Graigue Urban,Carlow,Southern,9,3.29,7.14,2.83,1068,84.76,85.4,6.03,86.95,5.41
3,003 Clonmore,Carlow,Southern,5,0.82,13.93,3.55,518,92.67,94.45,0,86.79,0
4,004 Hacketstown,Carlow,Southern,8,1,8.26,3.28,1010,93.26,94.09,1.2,89.83,2.38
5,005 Haroldstown,Carlow,Southern,3,1.17,10.53,2.34,246,94.98,96.91,0,84.94,0
6,006 Kineagh,Carlow,Southern,3,0.94,9.43,3.3,303,92.66,96.02,0,87.46,0
7,007 Rahill,Carlow,Southern,10,1.55,11.53,3.55,605,91.39,94.11,0.76,87.01,0
8,008 Rathvilly,Carlow,Southern,6,1.64,7.45,3.09,756,90.32,92.71,1.67,92.48,0
9,009 Tiknock,Carlow,Southern,4,2.27,11.82,3.18,313,93.43,95.22,0.6,90.83,0
92,038 Clontarf East B,Dublin City,Eastern and Midlands,143,3.73,26.41,19.64,5724,85.56,90.4,1.38,81.36,2.37
93,039 Clontarf East C,Dublin City,Eastern and Midlands,66,3.84,28,18.07,2684,87.34,92.35,0.59,83.94,1.29
94,040 Clontarf East D,Dublin City,Eastern and Midlands,57,4.22,27.4,19.33,2221,86.76,91.56,0.78,79.69,0.49
95,041 Clontarf East E,Dublin City,Eastern and Midlands,38,4.42,25.32,17.67,1454,87.7,91.38,0.66,80.12,0.71
96,042 Clontarf West A,Dublin City,Eastern and Midlands,78,2.24,18.94,12.21,3001,87.75,90.12,1.55,82.01,0.9
97,043 Clontarf West B,Dublin City,Eastern and Midlands,40,1.92,10.84,6.76,2098,90.9,93.41,0.69,87.65,2.76
98,044 Clontarf West C,Dublin City,Eastern and Midlands,94,4.24,29.95,22.83,2676,80.17,83.28,2.07,73.77,2.53
99,045 Clontarf West D,Dublin City,Eastern and Midlands,72,3.58,22,15.11,1485,73.04,76.29,4.53,68.01,0.86
100,046 Clontarf West E,Dublin City,Eastern and Midlands,62,2.76,20.07,12.46,2036,88.06,92.08,1.21,80.25,1.6
101,047 Drumcondra South A,Dublin City,Eastern and Midlands,116,4.03,26.55,18.48,3574,79.42,82.6,3.22,73.64,1.45
102,048 Drumcondra South B,Dublin City,Eastern and Midlands,44,3.7,28.34,18,1200,79.31,83.15,2.71,76.34,0.87
103,049 Drumcondra South C,Dublin City,Eastern and Midlands,73,4.47,24.81,18.43,2732,88.36,92.85,0.84,81.76,0
104,050 Edenmore,Dublin City,Eastern and Midlands,34,1.23,6.99,3.2,2480,91.14,92.65,0.77,89.36,1.47
105,051 Finglas North A,Dublin City,Eastern and Midlands,16,0.43,3.28,1.06,3041,94.44,94.53,0.28,92.84,0
106,052 Finglas North B,Dublin City,Eastern and Midlands,21,0.75,4.79,1.29,2624,93.48,94.23,0.5,90.82,0
107,053 Finglas North C,Dublin City,Eastern and Midlands,51,1.55,10.82,4.16,2856,88.39,88.52,2.63,86.54,1.34
108,054 Finglas South A,Dublin City,Eastern and Midlands,22,0.45,3.57,1.39,2605,93.67,94.61,1.19,91.38,0.84
109,055 Finglas South B,Dublin City,Eastern and Midlands,30,1.18,9.27,4.24,3253,84.89,85.57,4.72,85.81,1.27
110,056 Finglas South C,Dublin City,Eastern and Midlands,12,0.36,2.35,0.84,2378,94.93,95.85,0.64,93.78,4.35
111,057 Finglas South D,Dublin City,Eastern and Midlands,9,0.55,3.07,0.95,2187,94.68,93.72,0.87,91.82,0
112,058 Grace Park,Dublin City,Eastern and Midlands,90,2.58,19.85,12.62,4907,87.25,90.77,1.24,84.83,1.74
113,059 Grange A,Dublin City,Eastern and Midlands,113,1.28,14.85,6.07,7645,85.86,88.5,2.88,85.4,2.93
114,060 Grange B,Dublin City,Eastern and Midlands,76,2.13,17.95,7.62,3549,78.64,80.3,8.77,80.96,3.58
115,061 Grange C,Dublin City,Eastern and Midlands,38,0.46,6.12,1.97,2814,92.72,94.27,1.22,91.24,4.9
116,062 Grange D,Dublin City,Eastern and Midlands,53,1.89,14.04,6.74,3580,87.77,89.78,1.54,84.07,2.21
117,063 Grange E,Dublin City,Eastern and Midlands,39,1.24,10.6,3.79,2285,89.12,92.36,1.33,86.59,1.53
