1,BORRIS MXD N S,Carlow,100,94,194,-6.91956,52.5993
2,BALLYCONNELL N S,Carlow,80,79,159,-6.62828,52.8124
3,BAILE AN CHUILINN N S,Carlow,56,55,111,-6.92923,52.6485
4,NEWTOWN DUNLECKNEY MXD,Carlow,69,61,130,-6.87567,52.7225
5,RATHOE NS,Carlow,92,86,178,-6.79887,52.7872
6,SCOIL NAIS MOLAISE,Carlow,74,66,140,-7.03297,52.7394
7,SCOIL NAIS BHRIDE,Carlow,88,71,159,-6.78127,52.8373
8,SCOIL NAIS MHUIRE,Carlow,53,47,100,-6.83898,52.6581
9,ST MARYS N S,Carlow,39,41,80,-6.95892,52.7001
10,ST BRIDGETS MONASTERY,Carlow,116,1,117,-6.95411,52.7
43,KILNALECK MIXED N S,Cavan,40,31,71,-7.32065,53.8595
44,BAILIEBORO MODEL N S,Cavan,52,37,89,-6.97357,53.9169
45,St Patrick's NS,Cavan,25,19,44,-7.79134,54.1183
46,S N MHUIRE,Cavan,32,28,60,-7.70495,54.1908
47,S N CRUABANAI,Cavan,88,69,157,-7.32081,53.9652
48,ST CLARES PRIMARY SCHOOL,Cavan,115,384,499,-7.35615,53.9916
49,MILLTOWN N S,Cavan,58,47,105,-7.47443,54.0642
50,CORLISS N S,Cavan,7,17,24,-7.49642,53.9747
51,KILLESHANDRA National School ( C of I),Cavan,33,29,62,-7.52741,54.0127
52,BALLYCONELL CENTRAL N S,Cavan,19,11,30,-7.58697,54.1172
53,CAVAN 1 N S,Cavan,38,41,79,-7.36202,53.99
54,DROMAILI S N,Cavan,134,104,238,-7.38316,54.0028
55,BILLIS N S,Cavan,45,46,91,-7.14452,53.8867
56,DARLEY N S,Cavan,45,38,83,-7.08566,54.076
57,CORRATOBER N S,Cavan,10,8,18,-7.55461,53.9011
58,ST PATRICKS MXD N S,Cavan,56,48,104,-7.53374,53.8738
119,S N MHUIRE,Clare,34,35,69,-8.64861,52.9239
120,TOONAGH N S,Clare,48,63,111,-9.03379,52.8899
121,MULLACH N S,Clare,27,31,58,-9.41874,52.7994
122,SCOIL SEANAIN NAOFA,Clare,181,159,340,-8.5536,52.7236
123,CRATLOE N S,Clare,124,147,271,-8.75482,52.699
124,O CALLAGHANS MILLS N S,Clare,25,35,60,-8.67154,52.8402
125,HOLY FAMILY SNR,Clare,164,201,365,-8.9807,52.8416
126,ROCKMOUNT MIXED N S,Clare,28,21,49,-9.34671,52.8684
182,S N CLUAIN MUINGE,Clare,79,72,151,-8.83571,52.7162
183,S N INIS CEALTRACH,Clare,36,29,65,-8.44092,52.9325
184,S N AN CHRIOCH,Clare,16,25,41,-9.43036,52.7467
185,S N CRONAIN NFA AN CARN,Clare,9,12,21,-9.07457,53.0375
186,S N MHUIRE MILIUC,Clare,75,73,148,-8.67333,52.6966
187,SCOIL MHUIRE NAISIUNTA,Clare,65,68,133,-9.0581,52.9449
188,S N CNOC DOIRE,Clare,15,13,28,-9.39571,52.6548
189,SN IOSEF NAOFA,Clare,14,11,25,-9.33139,52.9012
190,S N CUAN,Clare,15,20,35,-9.86532,52.5759
191,S N LIOSCEANUIR,Clare,43,36,79,-9.39458,52.9354
226,ENNIS EDUCATE TOGETHER NS,Clare,60,49,109,-8.98249,52.8589
227,SCOIL NA MAIGHDINE MHUIRE,Clare,94,98,192,-8.89675,52.7631
228,ST FACHNAN & ST ATTRACTAS N S,Clare,27,35,62,-9.22064,52.9894
229,Ennistymon National School,Clare,61,59,120,-9.29784,52.9382
230,Raheen Wood Steiner School,Clare,39,49,88,-8.52035,52.8924
231,Mol an Oige,Clare,69,61,130,-9.29807,52.9351
232,Coore National School,Clare,12,14,26,-9.42087,52.7051
233,Scoil Mhichil,Clare,19,15,34,-9.33887,52.7514
234,STRAWBERRY HILL B N S,Cork,177,0,177,-8.49974,51.9005
235,SUNDAYS WELL G N S,Cork,0,166,166,-8.50024,51.9004
236,SCOIL URSULA,Cork,69,87,156,-8.41343,51.8955
237,S N NAOMH ANTAINE,Cork,796,0,796,-8.44724,51.8878
238,GREENMOUNT MONASTERY NS,Cork,165,104,269,-8.47965,51.8908
239,ST LUKES MXD N S,Cork,43,44,87,-8.45589,51.9036
240,ST VINCENTS CONVENT N S,Cork,50,259,309,-8.47931,51.9055
241,S N B TOGHER CORK,Cork,308,0,308,-8.49577,51.8738
242,SCOIL NAOMH MHUIRE,Cork,77,148,225,-8.48011,51.8946
243,NAOMH EOIN EASPAL,Cork,107,0,107,-8.43108,51.9142
244,BALLINTEMPLE N S,Cork,111,102,213,-8.43899,51.8927
245,S N IOSEF NAOFA,Cork,214,0,214,-8.48665,51.8965
246,SCOIL COLMCILLE,Cork,196,0,196,-8.48247,51.901
247,SCOIL NA CROISE NAOFA,Cork,131,96,227,-8.40132,51.8939
248,ST PATRICKS B N S,Cork,215,0,215,-8.45401,51.9072
249,MUIRE GAN SMAL C,Cork,1,201,202,-8.49806,51.8865
250,OUR LADY OF LOURDES,Cork,0,250,250,-8.45412,51.8895
251,SCOIL MHUIRE GAN SMAL B,Cork,320,0,320,-8.49806,51.8865
252,S N PADRAIG NAOFA C,Cork,0,225,225,-8.45386,51.9079
253,S N PADRAIG NAOFA,Cork,81,52,133,-8.4542,51.907
254,SCOIL PADRE PIO N S,Cork,128,105,233,-8.4915,51.9067
255,SCOIL NAOMH CAITRIONA,Cork,0,412,412,-8.51546,51.8863
256,GAELSCOIL AN TEAGHLAIGH NAOFA,Cork,118,111,229,-8.47474,51.883
257,S N BARRA NAOFA,Cork,18,27,45,-8.48379,51.8941
258,SCOIL NAOMH MICHEAL,Cork,18,20,38,-8.4194,51.8953
259,SCOIL NAOMH BRID C,Cork,0,557,557,-8.44523,51.8828
260,S N ATHAIR MAITIU C,Cork,0,288,288,-8.49611,51.8738
261,SCOIL MHUIRE BANRION,Cork,0,192,192,-8.42356,51.9125
262,REALT NA MAIDINE,Cork,114,3,117,-8.47859,51.8786
263,SCOIL IOSAGAIN,Cork,396,0,396,-8.48436,51.9103
