CODE,ED_NAME,COUNTY,Planning Region,Pop_By_Place_Of_Birth_Ireland_2011,Perc_Pop_By_Place_Of_Birth_Ireland_2011,Perc_Pop_By_Nationality_Ireland_2011,Perc_Pop_By_Nationality_Poland_2011,Perc_Pop_By_Religion_Catholic_2011,Perc_Speakers_Of_Foreign_Languages_Ability_To_Speak_English_Not_At_All_2011
1,001 Carlow Urban,Carlow,Southern,3236,79.51,80.81,6.19,81.27,2.93
2,002 Graigue Urban,Carlow,Southern,1068,84.76,85.4,6.03,86.95,5.41
3,003 Clonmore,Carlow,Southern,518,92.67,94.45,0,86.79,0
4,004 Hacketstown,Carlow,Southern,1010,93.26,94.09,1.2,89.83,2.38
5,005 Haroldstown,Carlow,Southern,246,94.98,96.91,0,84.94,0
6,006 Kineagh,Carlow,Southern,303,92.66,96.02,0,87.46,0
7,007 Rahill,Carlow,Southern,605,91.39,94.11,0.76,87.01,0
8,008 Rathvilly,Carlow,Southern,756,90.32,92.71,1.67,92.48,0
9,009 Tiknock,Carlow,Southern,313,93.43,95.22,0.6,90.83,0
10,010 Williamstown,Carlow,Southern,272,91.58,95.62,0,83.16,12.5
11,011 Agha,Carlow,Southern,361,94.5,96.86,0,91.36,0
12,012 Ballinacarrig,Carlow,Southern,911,91.65,94.67,0.4,88.76,2.22
13,013 Ballintemple,Carlow,Southern,510,91.4,93.73,0,81.4,0
14,014 Ballon,Carlow,Southern,605,85.45,87.29,6.5,90.14,6.25
15,015 Ballyellin,Carlow,Southern,390,91.55,94.6,1.17,87.12,0
16,016 Ballymoon,Carlow,Southern,313,95.14,97.26,0,81.16,0
17,017 Borris,Carlow,Southern,876,84.39,88.15,4.91,91.55,0.89
18,018 Burton Hall,Carlow,Southern,423,91.56,95.24,0.43,90.11,7.14
19,019 Carlow Rural,Carlow,Southern,10799,78.05,80.32,7.5,83.91,4.16
20,020 Clogrenan,Carlow,Southern,914,91.95,95.27,0.3,88.25,0
21,021 Clonegall,Carlow,Southern,897,92,94.26,0.51,88.96,0
22,022 Corries,Carlow,Southern,483,92,94.48,0,87.59,0
23,023 Cranemore,Carlow,Southern,862,81.09,82.13,12.14,78.26,12.78
24,024 Fennagh,Carlow,Southern,678,92.12,94.16,0.68,86.01,0
25,025 Garryhill,Carlow,Southern,536,91.78,95.89,0,92.87,0
26,026 Grangeford,Carlow,Southern,374,88.63,91.23,1.18,84.2,0
27,027 Johnstown,Carlow,Southern,540,94.9,97.19,0,89.63,0
28,028 Kellistown,Carlow,Southern,916,92.25,96.88,0.1,91.21,0
29,029 Kilbride,Carlow,Southern,399,89.06,90.63,3.79,80.62,3.03
30,030 Killedmond,Carlow,Southern,377,89.13,93.38,0,83.49,0
31,031 Killerrig,Carlow,Southern,340,94.71,97.49,0,89.97,7.14
32,032 Leighlinbridge,Carlow,Southern,1373,88.81,90.1,2.98,89.28,4.63
33,033 Muinebeag (Bagenalstown) Rural,Carlow,Southern,599,93.3,97.35,1.09,90.56,0
34,034 Muinebeag (Bagenalstown) Urban,Carlow,Southern,2374,85.86,87.74,5.53,92.43,4.22
35,035 Myshall,Carlow,Southern,541,89.42,92.4,0.83,91.09,0
